image_0.png,target,156,98,237,136,
image_1.png,target,153,94,233,134,
image_10.png,target,174,80,253,123,
image_100.png,target,335,105,400,138,
image_101.png,target,344,104,400,139,
image_102.png,target,357,102,400,134,
image_11.png,target,175,77,251,120,
image_12.png,target,175,78,252,122,
image_128.png,target,364,90,400,123,
image_129.png,target,350,91,400,124,
image_13.png,target,177,79,254,121,
image_130.png,target,327,77,400,123,
image_131.png,target,314,78,400,124,
image_132.png,target,288,81,374,128,
image_133.png,target,278,83,363,131,
image_134.png,target,260,91,342,136,
image_135.png,target,244,92,327,139,
image_136.png,target,235,93,319,140,
image_137.png,target,218,94,303,141,
image_138.png,target,208,95,291,140,
image_139.png,target,183,99,273,143,
image_14.png,target,177,77,255,122,
image_140.png,target,172,100,261,145,
image_141.png,target,145,102,234,145,
image_142.png,target,135,101,220,144,
image_143.png,target,115,98,198,139,
image_144.png,target,107,97,190,140,
image_145.png,target,88,98,174,140,
image_146.png,target,79,100,163,140,
image_147.png,target,52,99,142,141,
image_148.png,target,41,100,130,142,
image_149.png,target,20,106,105,149,
image_15.png,target,179,75,254,118,
image_150.png,target,10,108,93,150,
image_151.png,target,1,111,74,154,
image_152.png,target,1,114,55,155,
image_153.png,target,1,114,49,155,
image_154.png,target,1,114,40,154,
image_155.png,target,1,113,37,152,
image_16.png,target,177,75,255,118,
image_165.png,target,1,113,23,153,
image_166.png,target,1,115,31,155,
image_167.png,target,1,120,44,159,
image_168.png,target,1,122,53,164,
image_169.png,target,1,124,68,166,
image_17.png,target,176,75,253,120,
image_170.png,target,1,126,77,168,
image_171.png,target,6,126,86,168,
image_172.png,target,22,124,105,167,
image_173.png,target,31,124,114,165,
image_174.png,target,50,119,134,162,
image_175.png,target,70,113,154,156,
image_176.png,target,82,107,165,152,
image_177.png,target,101,102,186,144,
image_178.png,target,110,101,196,145,
image_179.png,target,129,97,215,143,
image_18.png,target,171,76,251,120,
image_180.png,target,140,93,226,139,
image_181.png,target,163,84,247,131,
image_182.png,target,172,83,256,129,
image_183.png,target,181,83,264,130,
image_184.png,target,196,81,277,127,
image_185.png,target,209,82,288,129,
image_186.png,target,213,83,291,130,
